"Provincia","Sexo","Edad","Nivel_educativo","Victimizacion","Inseguridad","Satisfaccion_democracia","Confianza_policia"
"Lima","Hombre",47,"Media",1,1,0,0
"Lima","Hombre",26,"Alta",0,1,0,1
"Lima","Hombre",55,"Alta",0,1,0,1
"Lima","Hombre",44,"Media",0,0,1,1
"Lima","Hombre",68,"Alta",1,1,0,1
"Lima","Hombre",27,"Alta",1,0,0,0
"Lima","Hombre",20,"Alta",0,0,0,1
"Lima","Hombre",53,"Baja",0,1,0,1
"Lima","Hombre",71,"Alta",0,0,0,0
"Lima","Hombre",43,"Alta",0,0,1,1
"Lima","Hombre",43,"Media",0,1,1,1
"Lima","Hombre",29,"Media",1,1,0,1
"Lima","Hombre",21,"Media",0,0,0,0
"Lima","Hombre",57,"Alta",0,1,1,1
"Lima","Hombre",35,"Alta",0,0,1,1
"Lima","Hombre",30,"Alta",0,0,0,0
"Lima","Hombre",19,"Media",0,1,0,0
"Lima","Hombre",34,"Alta",1,1,0,0
"Lima","Hombre",25,"Alta",0,1,0,0
"Lima","Hombre",27,"Alta",0,1,0,0
"Lima","Hombre",67,"Media",1,1,0,0
"Lima","Hombre",31,"Media",1,1,0,1
"Lima","Hombre",64,"Baja",1,1,0,0
"Lima","Hombre",24,"Alta",1,0,0,0
"Lima","Hombre",25,"Media",1,1,0,0
"Lima","Hombre",30,"Media",0,1,0,0
"Lima","Hombre",34,"Media",0,0,1,0
"Lima","Hombre",32,"Alta",0,1,0,0
"Lima","Hombre",39,"Media",1,0,0,0
"Lima","Hombre",23,"Media",1,0,0,0
"Lima","Hombre",25,"Alta",1,1,0,0
"Lima","Hombre",36,"Media",1,1,0,1
"Lima","Hombre",32,"Media",0,1,0,1
"Lima","Hombre",53,"Media",0,1,0,0
"Lima","Hombre",47,"Alta",1,1,0,1
"Lima","Hombre",60,"Media",1,1,1,0
"Lima","Hombre",51,"Baja",1,1,0,1
"Lima","Hombre",40,"Media",0,1,1,0
"Lima","Hombre",28,"Alta",0,1,0,0
"Lima","Hombre",46,"Media",0,1,0,0
"Lima","Hombre",21,"Alta",1,1,1,1
"Lima","Hombre",48,"Media",1,1,0,0
"Piura","Mujer",52,"Media",0,1,0,1
"Piura","Mujer",32,"Baja",0,0,NA,0
"Piura","Mujer",37,"Alta",1,1,0,1
"Piura","Mujer",40,"Baja",0,0,1,1
"Piura","Mujer",80,"Alta",0,0,0,0
"Piura","Mujer",32,"Baja",0,0,0,1
"Piura","Mujer",37,"Media",0,0,0,0
"Piura","Mujer",45,"Alta",1,1,0,0
"Piura","Mujer",25,"Alta",0,1,0,1
"Piura","Mujer",24,"Alta",0,0,1,0
"Piura","Mujer",22,"Alta",0,1,1,1
"Piura","Mujer",83,"Media",0,1,0,0
"Piura","Mujer",73,"Alta",0,0,0,0
"Piura","Mujer",55,"Media",0,1,0,0
"Piura","Mujer",30,"Media",1,1,0,0
"Piura","Mujer",18,"Media",1,1,1,0
"Piura","Mujer",21,"Media",0,0,1,1
"Piura","Mujer",28,"Alta",0,0,0,0
"Lambayeque","Mujer",58,"Alta",0,1,0,0
"Lambayeque","Mujer",30,"Media",0,1,0,0
"Lambayeque","Mujer",46,"Media",0,0,0,0
"Lambayeque","Mujer",30,"Media",1,1,0,0
"Lambayeque","Mujer",33,"Media",0,0,1,1
"Lambayeque","Mujer",61,"Media",0,0,0,0
"Lambayeque","Mujer",30,"Alta",0,0,0,0
"Lambayeque","Mujer",23,"Alta",0,0,0,1
"Lambayeque","Mujer",52,"Alta",1,0,0,0
"Lambayeque","Mujer",68,"Alta",0,1,0,0
"Lambayeque","Mujer",23,"Alta",0,0,0,0
"Lambayeque","Mujer",20,"Media",1,0,0,1
"Lambayeque","Mujer",22,"Media",1,1,0,0
"Lambayeque","Mujer",25,"Alta",1,1,0,0
"Lambayeque","Mujer",18,"Media",0,1,1,0
"Lambayeque","Mujer",23,"Alta",1,1,0,0
"Lambayeque","Mujer",33,"Media",0,0,0,0
"Lambayeque","Mujer",35,"Alta",0,0,0,0
"Lambayeque","Mujer",50,"Media",1,1,0,1
"Lambayeque","Mujer",32,"Alta",1,1,0,0
"Lima","Mujer",23,"Media",1,0,0,0
"Lima","Mujer",24,"Alta",1,0,0,0
"Lima","Mujer",19,"Alta",0,0,0,0
"Lima","Mujer",37,"Alta",0,1,0,0
"Lima","Mujer",45,"Alta",1,1,0,0
"Lima","Mujer",50,"Media",0,1,0,0
"Lima","Mujer",19,"Alta",0,1,0,0
"Lima","Mujer",31,"Media",1,1,0,0
"Lima","Mujer",31,"Alta",0,1,0,1
"Lima","Mujer",60,"Media",0,1,NA,0
"Lima","Mujer",52,"Baja",0,1,0,0
"Lima","Mujer",30,"Alta",0,1,0,0
"Lima","Hombre",30,"Media",1,1,0,0
"Lima","Hombre",43,"Media",1,1,0,0
"Lima","Hombre",19,"Alta",0,0,0,0
"Lima","Hombre",20,"Alta",1,1,0,0
"Lima","Hombre",30,"Media",0,1,0,1
"Lima","Hombre",28,"Alta",0,1,0,0
"Lima","Hombre",19,"Media",1,1,0,0
"Lima","Hombre",45,"Media",0,0,0,0
"Lima","Hombre",47,"Baja",0,1,0,1
"Lima","Hombre",53,"Media",1,1,0,1
"Lima","Hombre",50,"Media",1,1,0,0
"Lima","Hombre",40,"Alta",1,1,1,1
"Piura","Mujer",38,"Alta",1,0,0,0
"Piura","Mujer",41,"Baja",0,1,1,1
"Piura","Mujer",67,"Media",0,0,1,1
"Piura","Mujer",33,"Media",0,1,0,1
"Piura","Mujer",52,"Alta",0,0,0,0
"Piura","Mujer",76,"Baja",0,1,0,0
"Piura","Mujer",21,"Media",0,0,1,0
"Piura","Mujer",40,"Alta",0,0,0,0
"Piura","Mujer",20,"Alta",1,0,0,1
"Piura","Mujer",46,"Media",1,1,0,1
"Piura","Mujer",29,"Alta",0,0,1,0
"Piura","Mujer",19,"Alta",1,1,0,0
"Lambayeque","Mujer",37,"Baja",0,1,0,1
"Lambayeque","Mujer",48,"Baja",0,1,NA,0
"Lambayeque","Mujer",22,"Alta",1,0,0,0
"Lambayeque","Mujer",35,"Alta",0,1,1,0
"Lambayeque","Mujer",56,"Baja",0,0,0,1
"Lambayeque","Mujer",64,"Baja",1,1,0,0
"Lambayeque","Mujer",40,"Media",0,1,0,1
"Lambayeque","Mujer",25,"Alta",1,1,1,0
"Lambayeque","Mujer",23,"Baja",0,1,1,0
"Lambayeque","Mujer",27,"Media",1,1,0,0
"Lambayeque","Mujer",34,"Media",1,1,0,1
"Lambayeque","Mujer",73,"Media",0,0,0,0
"Amazonas","Mujer",49,"Baja",0,0,1,1
"Amazonas","Mujer",33,"Media",0,0,0,0
"Amazonas","Mujer",35,"Media",1,1,0,1
"Amazonas","Mujer",22,"Baja",0,0,1,1
"Amazonas","Mujer",70,"Baja",0,0,0,1
"Amazonas","Mujer",25,"Alta",1,0,0,0
"Callao","Hombre",61,"Alta",0,1,0,0
"Callao","Hombre",33,"Media",0,1,0,0
"Callao","Hombre",55,"Media",1,0,0,1
"Callao","Hombre",20,"Alta",0,1,0,0
"Callao","Hombre",32,"Alta",1,1,0,0
"Callao","Hombre",31,"Alta",0,1,1,0
"Callao","Hombre",44,"Media",0,1,0,0
"Callao","Hombre",23,"Alta",0,0,0,0
"Callao","Hombre",30,"Alta",1,1,0,0
"Callao","Hombre",64,"Media",0,0,1,1
"Callao","Hombre",26,"Alta",0,1,0,0
"Callao","Hombre",21,"Alta",0,0,0,0
"Callao","Hombre",54,"Alta",0,1,0,1
"Callao","Hombre",29,"Alta",0,1,0,0
"Callao","Hombre",29,"Alta",0,1,0,0
"Callao","Hombre",39,"Media",0,1,0,0
"Callao","Hombre",43,"Alta",0,1,0,1
"Callao","Hombre",51,"Alta",0,0,0,0
"Lima","Hombre",37,"Alta",1,1,0,0
"Lima","Hombre",28,"Media",0,0,0,0
"Lima","Hombre",39,"Media",0,1,1,1
"Lima","Hombre",21,"Alta",0,0,0,0
"Lima","Hombre",65,"Alta",0,1,0,0
"Lima","Hombre",76,"Media",0,1,1,0
"Lima","Hombre",60,"Baja",1,1,1,1
"Lima","Hombre",34,"Media",0,1,0,0
"Lima","Hombre",54,"Media",1,1,0,0
"Lima","Hombre",20,"Alta",0,0,1,1
"Lima","Hombre",19,"Media",0,0,0,0
"Lima","Hombre",36,"Alta",0,0,0,1
"Lima","Hombre",57,"Media",1,1,0,0
